gene_id,log2FoldChange,pvalue,padj
KBTBD6,0.6332570042318286,4.741320061060489e-09,7.760622464342098e-07
ENSG00000305635,1.3014005863785718,4.929478592941167e-09,8.026577565162484e-07
ENSG00000290920,-3.312813014,4.98418206097117e-09,8.073600195447756e-07
SPON1,-1.930603978,5.348588749163385e-09,8.619223199231695e-07
FZD9,-2.568690875,5.41329195431781e-09,8.678756223991675e-07
COL3A1,-1.756442056,5.6062782811469475e-09,8.942299893035563e-07
IGFBP7,-1.275457832,5.950292329924919e-09,9.442842086824505e-07
IGHA2,-2.30411277,6.15104481706851e-09,9.712126975556205e-07
LYRM1,0.7371114134195436,6.235437677649536e-09,9.795903925445098e-07
PVT1,-1.607251571,6.422114000302419e-09,9.939334157992799e-07
CSAG1,4.044932602052866,6.405125843579912e-09,9.939334157992799e-07
PSMA2,0.47604936125243597,6.361388182149468e-09,9.939334157992799e-07
HTN3,-10.4814012,6.463824311073495e-09,9.954607854043875e-07
ENSG00000261487,1.3974769751396638,6.6186761171991865e-09,1.0143121149607754e-06
FAM167A,2.269686157213008,6.858947307378312e-09,1.0460061935149667e-06
DEXI,0.6916135897502226,6.904801896654579e-09,1.0478874839568548e-06
LINC02580,-2.076575245,7.001090995996541e-09,1.0573676705692746e-06
MT1F,1.8125724946962276,7.286228946314201e-09,1.0951412285991388e-06
DNAH6,2.01705557982132,7.387882924307403e-09,1.1017894375185964e-06
MXRA5,-2.047040926,7.400946226494746e-09,1.1017894375185964e-06
CCDC13-AS2,2.0362668205357446,7.678787021229209e-09,1.1377342115862025e-06
ID4,-1.712245404,7.965485414628576e-09,1.172983060079662e-06
KCNB1,2.5956000474812053,8.02924782832894e-09,1.172983060079662e-06
FOS,-1.693833565,8.002034049543806e-09,1.172983060079662e-06
ENSG00000280282,3.221233816257376,8.130162565882773e-09,1.1822012664985727e-06
RPL22L1,-1.102870399,8.208902203301305e-09,1.1881245813972625e-06
CHST2,-1.363585596,9.267899918277208e-09,1.3324896875077004e-06
SCD5,-1.460027282,9.291582761624882e-09,1.3324896875077004e-06
TRIL,-1.163012422,9.761032502396373e-09,1.3870870869200808e-06
KLF2,-1.478667147,9.73789281058847e-09,1.3870870869200808e-06
JUN,-0.918822774,9.817533217047849e-09,1.3888033527808456e-06
MRPL21,-0.976539328,1.0115545071607396e-08,1.4245147998813605e-06
ANO3,2.4503120448056412,1.0236597644217431e-08,1.435097543278787e-06
ENSG00000294399,-3.441900292,1.0440226224972259e-08,1.4567967892532286e-06
PRSS2,-5.831289637,1.0484575299298739e-08,1.4567967892532286e-06
ENSG00000241728,-2.786532783,1.1030431818829308e-08,1.5258601325312418e-06
SLC9A3-AS1,-1.481084004,1.1439961853112082e-08,1.5755397683429207e-06
CRYAB,-2.136820863,1.1711460358319588e-08,1.6058569525532689e-06
JUNB,-1.333694208,1.187595721313382e-08,1.6142523928443591e-06
ENSG00000280088,0.6359456853873492,1.1868256668041472e-08,1.6142523928443591e-06
CCN3,-1.761607527,1.2125229553309072e-08,1.6403311712194252e-06
ENSG00000259081,-2.529160851,1.2172754749157364e-08,1.6403311712194252e-06
SYT7,1.8162167675922565,1.250141966715459e-08,1.6721386054783693e-06
MS4A1,-2.40027513,1.2515767318617483e-08,1.6721386054783693e-06
ENSG00000289940,-4.567582691,1.2944122280328878e-08,1.722008914254986e-06
TUBA4B,2.693223736766663,1.3477559053391314e-08,1.7853768164668334e-06
EIF2AK1,0.3569149435139204,1.3741070251237628e-08,1.8005387056943608e-06
SLC9A9,-1.184037724,1.376479386690184e-08,1.8005387056943608e-06
ALOX5,-1.558308217,1.3666654599415716e-08,1.8005387056943608e-06
ENSG00000304958,3.6365935208779967,1.3998622381942737e-08,1.8234955480278156e-06
GPM6B,-1.561684046,1.4169124038518113e-08,1.8380469909385549e-06
